UniProt ID	PDB ID	Coverage	Chain ID	PDB Start	PDB End	Uniprot Start	Uniprot End
Q5H8C1	____	0.0	_	-1	-1	-1	-1
Q5JRM6	____	0.0	_	-1	-1	-1	-1
Q5JTD7	____	0.0	_	-1	-1	-1	-1
Q5JTW2	____	0.0	_	-1	-1	-1	-1
P21810	____	0.0	_	-1	-1	-1	-1
Q5VWM4	____	0.0	_	-1	-1	-1	-1
Q5VWM6	____	0.0	_	-1	-1	-1	-1
Q5VXH4	____	0.0	_	-1	-1	-1	-1
Q6UVY6	____	0.0	_	-1	-1	-1	-1
Q6P9F7	____	0.0	_	-1	-1	-1	-1
Q6PEZ8	____	0.0	_	-1	-1	-1	-1
Q6PIJ6	____	0.0	_	-1	-1	-1	-1
Q6PJG9	____	0.0	_	-1	-1	-1	-1
P17509	____	0.0	_	-1	-1	-1	-1
Q6QHC5	____	0.0	_	-1	-1	-1	-1
Q6QHK4	____	0.0	_	-1	-1	-1	-1
Q6UWB4	____	0.0	_	-1	-1	-1	-1
P17661	____	0.0	_	-1	-1	-1	-1
Q6UWE0	____	0.0	_	-1	-1	-1	-1
Q6UXK2	____	0.0	_	-1	-1	-1	-1
Q6UXK5	____	0.0	_	-1	-1	-1	-1
Q6UXM1	____	0.0	_	-1	-1	-1	-1
Q6UXN9	____	0.0	_	-1	-1	-1	-1
Q6UY01	____	0.0	_	-1	-1	-1	-1
Q6UY18	____	0.0	_	-1	-1	-1	-1
Q6P5Z2	____	0.0	_	-1	-1	-1	-1
Q6P2D8	____	0.0	_	-1	-1	-1	-1
Q5VXH5	____	0.0	_	-1	-1	-1	-1
Q6AZZ1	____	0.0	_	-1	-1	-1	-1
Q5VYJ5	____	0.0	_	-1	-1	-1	-1
P20853	____	0.0	_	-1	-1	-1	-1
Q674X7	____	0.0	_	-1	-1	-1	-1
P20774	____	0.0	_	-1	-1	-1	-1
Q68CR7	____	0.0	_	-1	-1	-1	-1
Q68D86	____	0.0	_	-1	-1	-1	-1
P20648	____	0.0	_	-1	-1	-1	-1
Q6DN14	____	0.0	_	-1	-1	-1	-1
Q6P1A2	____	0.0	_	-1	-1	-1	-1
Q6EMK4	____	0.0	_	-1	-1	-1	-1
Q6F5E8	____	0.0	_	-1	-1	-1	-1
Q6JBY9	____	0.0	_	-1	-1	-1	-1
Q6NSJ5	____	0.0	_	-1	-1	-1	-1
Q6NUI6	____	0.0	_	-1	-1	-1	-1
Q6NVH7	____	0.0	_	-1	-1	-1	-1
P19022	____	0.0	_	-1	-1	-1	-1
Q3KQV3	____	0.0	_	-1	-1	-1	-1
Q2VPJ9	____	0.0	_	-1	-1	-1	-1
Q96A29	____	0.0	_	-1	-1	-1	-1
Q2UY09	____	0.0	_	-1	-1	-1	-1
Q05C16	____	0.0	_	-1	-1	-1	-1
P51888	____	0.0	_	-1	-1	-1	-1
P51884	____	0.0	_	-1	-1	-1	-1
P51793	____	0.0	_	-1	-1	-1	-1
Q08462	____	0.0	_	-1	-1	-1	-1
Q0VAA2	____	0.0	_	-1	-1	-1	-1
Q0VAK6	____	0.0	_	-1	-1	-1	-1
Q0ZLH3	____	0.0	_	-1	-1	-1	-1
P49755	____	0.0	_	-1	-1	-1	-1
P49619	____	0.0	_	-1	-1	-1	-1
Q12882	____	0.0	_	-1	-1	-1	-1
Q12907	____	0.0	_	-1	-1	-1	-1
P49247	____	0.0	_	-1	-1	-1	-1
Q12981	____	0.0	_	-1	-1	-1	-1
Q13045	____	0.0	_	-1	-1	-1	-1
P48742	____	0.0	_	-1	-1	-1	-1
P48553	____	0.0	_	-1	-1	-1	-1
Q05932	____	0.0	_	-1	-1	-1	-1
P52824	____	0.0	_	-1	-1	-1	-1
Q05682	____	0.0	_	-1	-1	-1	-1
P82987	____	0.0	_	-1	-1	-1	-1
P60323	____	0.0	_	-1	-1	-1	-1
P61962	____	0.0	_	-1	-1	-1	-1
P59901	____	0.0	_	-1	-1	-1	-1
P67936	____	0.0	_	-1	-1	-1	-1
P78395	____	0.0	_	-1	-1	-1	-1
P59045	____	0.0	_	-1	-1	-1	-1
P82094	____	0.0	_	-1	-1	-1	-1
P98077	____	0.0	_	-1	-1	-1	-1
P53672	____	0.0	_	-1	-1	-1	-1
P56693	____	0.0	_	-1	-1	-1	-1
Q00765	____	0.0	_	-1	-1	-1	-1
P56377	____	0.0	_	-1	-1	-1	-1
Q02383	____	0.0	_	-1	-1	-1	-1
P55916	____	0.0	_	-1	-1	-1	-1
P55160	____	0.0	_	-1	-1	-1	-1
Q03923	____	0.0	_	-1	-1	-1	-1
Q13242	____	0.0	_	-1	-1	-1	-1
Q13287	____	0.0	_	-1	-1	-1	-1
P40197	____	0.0	_	-1	-1	-1	-1
Q16143	____	0.0	_	-1	-1	-1	-1
Q15327	____	0.0	_	-1	-1	-1	-1
Q15345	____	0.0	_	-1	-1	-1	-1
P28328	____	0.0	_	-1	-1	-1	-1
P27658	____	0.0	_	-1	-1	-1	-1
P23786	____	0.0	_	-1	-1	-1	-1
P23515	____	0.0	_	-1	-1	-1	-1
Q15572	____	0.0	_	-1	-1	-1	-1
Q16204	____	0.0	_	-1	-1	-1	-1
P28358	____	0.0	_	-1	-1	-1	-1
Q16363	____	0.0	_	-1	-1	-1	-1
Q17RW2	____	0.0	_	-1	-1	-1	-1
Q1AHP8	____	0.0	_	-1	-1	-1	-1
Q1HG44	____	0.0	_	-1	-1	-1	-1
Q1X8D7	____	0.0	_	-1	-1	-1	-1
P22792	____	0.0	_	-1	-1	-1	-1
Q2I0M5	____	0.0	_	-1	-1	-1	-1
Q15139	____	0.0	_	-1	-1	-1	-1
Q15048	____	0.0	_	-1	-1	-1	-1
Q13410	____	0.0	_	-1	-1	-1	-1
Q13956	____	0.0	_	-1	-1	-1	-1
Q13428	____	0.0	_	-1	-1	-1	-1
P37287	____	0.0	_	-1	-1	-1	-1
Q13615	____	0.0	_	-1	-1	-1	-1
P36268	____	0.0	_	-1	-1	-1	-1
Q13671	____	0.0	_	-1	-1	-1	-1
P35548	____	0.0	_	-1	-1	-1	-1
Q13753	____	0.0	_	-1	-1	-1	-1
Q14031	____	0.0	_	-1	-1	-1	-1
Q14953	____	0.0	_	-1	-1	-1	-1
Q14157	____	0.0	_	-1	-1	-1	-1
Q14296	____	0.0	_	-1	-1	-1	-1
P33076	____	0.0	_	-1	-1	-1	-1
P31152	____	0.0	_	-1	-1	-1	-1
Q14520	____	0.0	_	-1	-1	-1	-1
Q14774	____	0.0	_	-1	-1	-1	-1
Q14872	____	0.0	_	-1	-1	-1	-1
Q6WRI0	____	0.0	_	-1	-1	-1	-1
Q6WRX3	____	0.0	_	-1	-1	-1	-1
Q6ZMS7	____	0.0	_	-1	-1	-1	-1
Q6ZNQ3	____	0.0	_	-1	-1	-1	-1
Q8N7C0	____	0.0	_	-1	-1	-1	-1
Q8N7X0	____	0.0	_	-1	-1	-1	-1
Q8N8E2	____	0.0	_	-1	-1	-1	-1
Q8N967	____	0.0	_	-1	-1	-1	-1
Q8N9N7	____	0.0	_	-1	-1	-1	-1
Q8NAA5	____	0.0	_	-1	-1	-1	-1
P0DME0	____	0.0	_	-1	-1	-1	-1
P0DKB5	____	0.0	_	-1	-1	-1	-1
Q8NBT0	____	0.0	_	-1	-1	-1	-1
Q8NC26	____	0.0	_	-1	-1	-1	-1
Q8NCP5	____	0.0	_	-1	-1	-1	-1
Q8ND23	____	0.0	_	-1	-1	-1	-1
Q8ND90	____	0.0	_	-1	-1	-1	-1
Q8NEA6	____	0.0	_	-1	-1	-1	-1
Q8NEE6	____	0.0	_	-1	-1	-1	-1
Q8NEP3	____	0.0	_	-1	-1	-1	-1
P0DI83	____	0.0	_	-1	-1	-1	-1
Q8N6Y2	____	0.0	_	-1	-1	-1	-1
Q8N6Q3	____	0.0	_	-1	-1	-1	-1
Q8N6F8	____	0.0	_	-1	-1	-1	-1
Q8N386	____	0.0	_	-1	-1	-1	-1
Q8N135	____	0.0	_	-1	-1	-1	-1
Q8N145	____	0.0	_	-1	-1	-1	-1
Q8N1E6	____	0.0	_	-1	-1	-1	-1
Q8N1F8	____	0.0	_	-1	-1	-1	-1
Q8N1G0	____	0.0	_	-1	-1	-1	-1
P10155	____	0.0	_	-1	-1	-1	-1
Q8N309	____	0.0	_	-1	-1	-1	-1
Q8N393	____	0.0	_	-1	-1	-1	-1
Q8N531	____	0.0	_	-1	-1	-1	-1
Q8N394	____	0.0	_	-1	-1	-1	-1
P0DUQ2	____	0.0	_	-1	-1	-1	-1
P0DUQ1	____	0.0	_	-1	-1	-1	-1
Q8N456	____	0.0	_	-1	-1	-1	-1
Q8N461	____	0.0	_	-1	-1	-1	-1
Q8N4B4	____	0.0	_	-1	-1	-1	-1
Q8N4P6	____	0.0	_	-1	-1	-1	-1
Q8NF50	____	0.0	_	-1	-1	-1	-1
Q8NFA0	____	0.0	_	-1	-1	-1	-1
P0CB47	____	0.0	_	-1	-1	-1	-1
Q92538	____	0.0	_	-1	-1	-1	-1
Q8WUD6	____	0.0	_	-1	-1	-1	-1
Q8WUT4	____	0.0	_	-1	-1	-1	-1
P07197	____	0.0	_	-1	-1	-1	-1
P05976	____	0.0	_	-1	-1	-1	-1
Q8WW34	____	0.0	_	-1	-1	-1	-1
Q8WY54	____	0.0	_	-1	-1	-1	-1
P02810	____	0.0	_	-1	-1	-1	-1
Q92544	____	0.0	_	-1	-1	-1	-1
Q8WU90	____	0.0	_	-1	-1	-1	-1
Q92604	____	0.0	_	-1	-1	-1	-1
Q92626	____	0.0	_	-1	-1	-1	-1
Q92696	____	0.0	_	-1	-1	-1	-1
Q92813	____	0.0	_	-1	-1	-1	-1
Q92824	____	0.0	_	-1	-1	-1	-1
Q92903	____	0.0	_	-1	-1	-1	-1
Q969Q6	____	0.0	_	-1	-1	-1	-1
Q8WUA8	____	0.0	_	-1	-1	-1	-1
P07510	____	0.0	_	-1	-1	-1	-1
P0C7U0	____	0.0	_	-1	-1	-1	-1
P08247	____	0.0	_	-1	-1	-1	-1
P60370	____	0.0	_	-1	-1	-1	-1
Q8NFW5	____	0.0	_	-1	-1	-1	-1
Q8NFW8	____	0.0	_	-1	-1	-1	-1
Q8NFZ8	____	0.0	_	-1	-1	-1	-1
P08861	____	0.0	_	-1	-1	-1	-1
Q8TB37	____	0.0	_	-1	-1	-1	-1
Q8TB73	____	0.0	_	-1	-1	-1	-1
Q8TBZ2	____	0.0	_	-1	-1	-1	-1
Q8TF66	____	0.0	_	-1	-1	-1	-1
Q8TC12	____	0.0	_	-1	-1	-1	-1
Q8TCA0	____	0.0	_	-1	-1	-1	-1
Q8TCT1	____	0.0	_	-1	-1	-1	-1
Q8TDN2	____	0.0	_	-1	-1	-1	-1
Q8TE54	____	0.0	_	-1	-1	-1	-1
P07585	____	0.0	_	-1	-1	-1	-1
Q8TEY5	____	0.0	_	-1	-1	-1	-1
P12109	____	0.0	_	-1	-1	-1	-1
Q8N0V5	____	0.0	_	-1	-1	-1	-1
Q8N0V4	____	0.0	_	-1	-1	-1	-1
Q7Z3E1	____	0.0	_	-1	-1	-1	-1
Q7L985	____	0.0	_	-1	-1	-1	-1
Q7L9L4	____	0.0	_	-1	-1	-1	-1
Q7RTR2	____	0.0	_	-1	-1	-1	-1
Q7RTT9	____	0.0	_	-1	-1	-1	-1
Q7RTX0	____	0.0	_	-1	-1	-1	-1
Q7RTY0	____	0.0	_	-1	-1	-1	-1
Q7Z2Q7	____	0.0	_	-1	-1	-1	-1
Q7Z3S7	____	0.0	_	-1	-1	-1	-1
Q7L622	____	0.0	_	-1	-1	-1	-1
Q7Z401	____	0.0	_	-1	-1	-1	-1
Q7Z407	____	0.0	_	-1	-1	-1	-1
Q7Z4H8	____	0.0	_	-1	-1	-1	-1
Q7Z4L9	____	0.0	_	-1	-1	-1	-1
Q7Z5A7	____	0.0	_	-1	-1	-1	-1
Q7Z5L7	____	0.0	_	-1	-1	-1	-1
Q7Z6M2	____	0.0	_	-1	-1	-1	-1
Q7L8S5	____	0.0	_	-1	-1	-1	-1
Q7L5N7	____	0.0	_	-1	-1	-1	-1
Q7Z7A1	____	0.0	_	-1	-1	-1	-1
Q6ZU35	____	0.0	_	-1	-1	-1	-1
Q6ZPD9	____	0.0	_	-1	-1	-1	-1
Q6ZQY2	____	0.0	_	-1	-1	-1	-1
Q6ZR08	____	0.0	_	-1	-1	-1	-1
Q6ZRR7	____	0.0	_	-1	-1	-1	-1
Q6ZSA7	____	0.0	_	-1	-1	-1	-1
Q6ZSB9	____	0.0	_	-1	-1	-1	-1
Q6ZT12	____	0.0	_	-1	-1	-1	-1
Q6ZUI0	____	0.0	_	-1	-1	-1	-1
P17020	____	0.0	_	-1	-1	-1	-1
Q6ZV29	____	0.0	_	-1	-1	-1	-1
Q6ZVD3	____	0.0	_	-1	-1	-1	-1
Q6ZVD8	____	0.0	_	-1	-1	-1	-1
Q70SY1	____	0.0	_	-1	-1	-1	-1
Q7L099	____	0.0	_	-1	-1	-1	-1
Q7L0X0	____	0.0	_	-1	-1	-1	-1
Q7L1S5	____	0.0	_	-1	-1	-1	-1
Q7Z794	____	0.0	_	-1	-1	-1	-1
Q7Z7K6	____	0.0	_	-1	-1	-1	-1
P13535	____	0.0	_	-1	-1	-1	-1
P13942	____	0.0	_	-1	-1	-1	-1
Q86X40	____	0.0	_	-1	-1	-1	-1
Q86X45	____	0.0	_	-1	-1	-1	-1
P15586	____	0.0	_	-1	-1	-1	-1
Q8IUZ0	____	0.0	_	-1	-1	-1	-1
Q8IVJ1	____	0.0	_	-1	-1	-1	-1
Q8IW35	____	0.0	_	-1	-1	-1	-1
Q8IW52	____	0.0	_	-1	-1	-1	-1
Q8IWK6	____	0.0	_	-1	-1	-1	-1
Q86WN1	____	0.0	_	-1	-1	-1	-1
P13611	____	0.0	_	-1	-1	-1	-1
Q8IWU6	____	0.0	_	-1	-1	-1	-1
Q8IWV2	____	0.0	_	-1	-1	-1	-1
Q8IY22	____	0.0	_	-1	-1	-1	-1
Q8IY33	____	0.0	_	-1	-1	-1	-1
Q8IY45	____	0.0	_	-1	-1	-1	-1
Q8IYG6	____	0.0	_	-1	-1	-1	-1
Q86WS4	____	0.0	_	-1	-1	-1	-1
Q86WK7	____	0.0	_	-1	-1	-1	-1
Q86SJ2	____	0.0	_	-1	-1	-1	-1
Q86VH5	____	0.0	_	-1	-1	-1	-1
Q86T90	____	0.0	_	-1	-1	-1	-1
Q86TJ2	____	0.0	_	-1	-1	-1	-1
Q86UE6	____	0.0	_	-1	-1	-1	-1
Q86UN2	____	0.0	_	-1	-1	-1	-1
Q86UN3	____	0.0	_	-1	-1	-1	-1
Q86UU1	____	0.0	_	-1	-1	-1	-1
Q86VH4	____	0.0	_	-1	-1	-1	-1
Q86VR2	____	0.0	_	-1	-1	-1	-1
Q86WK6	____	0.0	_	-1	-1	-1	-1
Q86VZ5	____	0.0	_	-1	-1	-1	-1
Q86W25	____	0.0	_	-1	-1	-1	-1
Q86W28	____	0.0	_	-1	-1	-1	-1
Q86WB7	____	0.0	_	-1	-1	-1	-1
Q86WG5	____	0.0	_	-1	-1	-1	-1
Q86WI1	____	0.0	_	-1	-1	-1	-1
Q86WI3	____	0.0	_	-1	-1	-1	-1
A0A0G2JMD5	____	0.0	_	-1	-1	-1	-1
